team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Pacific,8.0,22.0,0.267,-8.02,0.41,1976.0,2182.0,2022
Penn State,14.0,17.0,0.452,8.72,9.1,2003.0,2015.0,2022
Pennsylvania,12.0,16.0,0.429,-3.93,-0.5,2017.0,2113.0,2022
Pepperdine,7.0,25.0,0.219,-7.04,3.42,2183.0,2480.0,2022
Pittsburgh,11.0,21.0,0.344,0.45,6.98,1969.0,2178.0,2022
Portland,19.0,15.0,0.559,-1.71,-1.11,2524.0,2454.0,2022
Portland State,14.0,17.0,0.452,-7.7,-5.67,2280.0,2237.0,2022
Prairie View,8.0,19.0,0.296,-10.47,-3.66,1877.0,2061.0,2022
Presbyterian,12.0,20.0,0.375,-8.47,-3.65,2170.0,2174.0,2022
Princeton,23.0,7.0,0.767,2.65,-3.95,2395.0,2103.0,2022
Providence,27.0,6.0,0.818,13.08,7.75,2360.0,2184.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Purdue,29.0,8.0,0.784,19.15,8.23,2936.0,2532.0,2022
Purdue Fort Wayne,21.0,12.0,0.636,-5.59,-6.69,2424.0,2298.0,2022
Quinnipiac,14.0,17.0,0.452,-5.56,-4.2,2226.0,2216.0,2022
Radford,11.0,18.0,0.379,-9.23,-3.9,1832.0,1955.0,2022
Rhode Island,15.0,16.0,0.484,2.92,1.22,2081.0,2015.0,2022
Rice,16.0,17.0,0.485,-2.74,-1.19,2446.0,2421.0,2022
Richmond,24.0,13.0,0.649,7.07,4.48,2628.0,2532.0,2022
Rider,14.0,19.0,0.424,-5.87,-3.56,2237.0,2286.0,2022
Robert Morris,8.0,24.0,0.25,-12.5,-5.47,2220.0,2390.0,2022
Rutgers,18.0,14.0,0.563,8.78,6.81,2192.0,2129.0,2022
Sacramento State,11.0,18.0,0.379,-12.06,-5.36,1898.0,2035.0,2022
Sacred Heart,10.0,20.0,0.333,-13.41,-8.79,2180.0,2254.0,2022
Saint Francis (PA),9.0,21.0,0.3,-14.57,-7.91,2058.0,2205.0,2022
Saint Joseph's,11.0,19.0,0.367,1.0,2.46,2028.0,2072.0,2022
Saint Louis,23.0,12.0,0.657,9.83,3.45,2666.0,2376.0,2022
Saint Mary's (CA),26.0,8.0,0.765,14.82,6.58,2370.0,2061.0,2022
